datetime,row,e_invoice_number,sales_date,quantity_sold_mt,registration_type,entity_name,seller_gst,buyer_gst,epr_invoice_number,status,message
2026-04-24T12:56:36.089Z,31,IN0525005030,12-02-2026,0.05,Unregistered,SEIKI AUTO INDIA PRIVATE LIMIT,05AAACE0119K1Z3,07AAACS8874M1ZN,202604248252279,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:56:45.445Z,32,IN0525005112,17-02-2026,1,Unregistered,COSMO GLOBAL FILMS PRIVATE LIMITED,05AAACE0119K1Z3,27AAKCC8263C1ZL,202604248252304,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:56:55.098Z,33,IN0525005401,05-03-2026,20,Unregistered,INNOVATIVE TECH PACK LIMITED,05AAACE0119K1Z3,02AAACI0144C1ZL,202604248252327,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:03.905Z,34,IN0525005484,11-03-2026,30,Unregistered,INNOVATIVE TECH PACK LTD.,05AAACE0119K1Z3,18AAACI0144C1Z8,202604248252348,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:12.825Z,35,IN0525005485,11-03-2026,20,Unregistered,INNOVATIVE TECH PACK LTD.,05AAACE0119K1Z3,18AAACI0144C1Z8,202604248252367,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:21.822Z,36,IN0525005539,14-03-2026,5,Unregistered,WEENER EMPIRE PLASTICS PRIVATE LIMI,05AAACE0119K1Z3,05AAACE5238K1ZP,202604248252392,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:31.365Z,37,IN0525005626,20-03-2026,0.25,Unregistered,VIKRANT INDUSTRIES,05AAACE0119K1Z3,09AAJFV4133E1Z6,202604248252417,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:40.839Z,38,IN0525005669,21-03-2026,7,Unregistered,SERVAM MARKETING SOLUTIONS  PVT LTD,05AAACE0119K1Z3,09ABACS5505N1Z1,202604248252442,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:49.937Z,39,IN0525005721,25-03-2026,20,Unregistered,INNOVATIVE TECH PACK LTD.,05AAACE0119K1Z3,18AAACI0144C1Z8,202604248252465,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:57:58.979Z,40,IN0525005724,25-03-2026,5,Unregistered,GDK SOLUTIONS,05AAACE0119K1Z3,09AAGFG7759L2ZM,202604248252487,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:58:07.910Z,41,IN0525005734,26-03-2026,15,Unregistered,INNOVATIVE TECH PACK LIMITED,05AAACE0119K1Z3,05AAACI0144C1ZF,202604248252511,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:58:16.727Z,42,IN0525005739,28-03-2026,30,Unregistered,INNOVATIVE TECH PACK LTD.,05AAACE0119K1Z3,18AAACI0144C1Z8,202604248252540,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:58:25.556Z,43,IN0525005794,31-03-2026,15,Unregistered,INNOVATIVE TECH PACK LIMITED,05AAACE0119K1Z3,05AAACI0144C1ZF,202604248252568,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:58:34.374Z,44,IN0525005795,31-03-2026,15,Unregistered,INNOVATIVE TECH PACK LIMITED,05AAACE0119K1Z3,05AAACI0144C1ZF,202604248252595,Filled,"×
Success
Sales Receipt Added"
2026-04-24T12:58:43.151Z,45,IN0525005786,31-03-2026,6,Unregistered,SERVAM MARKETING SOLUTIONS  PVT LTD,05AAACE0119K1Z3,09ABACS5505N1Z1,202604248252617,Filled,"×
Success
Sales Receipt Added"
